Word,Count,Translation
you,28787591,εσείς
i,27086011,Εγώ
the,22761659,ο
to,17099834,προς την
a,14484562,ένα
's,14291013,'μικρό
it,13631703,το
and,10572938,και
that,10203742,ότι
't,9628970,«Τ
of,8915110,του
is,7400675,είναι
in,7337058,σε
what,6900164,τι
we,6755687,εμείς
me,6444985,μου
this,5739788,Αυτό
he,5516364,αυτός
for,5174060,Για
my,4938948,μου
on,4821861,επί
have,4764010,έχω
your,4610945,τα δικα σου
do,4419883,κάνω
was,4401531,ήταν
'm,4386306,'Μ
no,4374975,όχι
not,4262273,δεν
be,4210868,είναι
are,4203821,είναι
don,4158644,κύριος
're,4059719,'σχετικά με
know,3892394,ξέρω
can,3826118,μπορώ
with,3806977,με
but,3631462,αλλά
all,3544700,όλα
so,3434152,Έτσι
just,3334392,μόλις
there,3148528,εκεί
here,3138591,εδώ
they,3060204,αυτοί
like,2983027,αρέσει
'll,2913428,«
get,2883193,παίρνω
she,2778359,αυτή
go,2738504,πηγαίνω
if,2630800,αν
right,2576821,σωστά
out,2510010,έξω
about,2487348,σχετικά με
up,2459855,πάνω
at,2431398,στο
him,2431059,αυτόν
now,2298830,τώρα
oh,2298308,ω
one,2263956,ένας
come,2203919,Έλα
well,2159909,Καλά
her,2154982,αυτήν
how,2140365,πως
yeah,2000641,ναι
've,1991871,«ve
will,1969807,θα
got,1968389,πήρα
want,1950845,θέλω
think,1839473,νομίζω
as,1792220,όπως και
see,1781493,βλέπω
did,1742764,διεφέρα
good,1741730,Καλός
who,1734491,ΠΟΥ
why,1722797,Γιατί
from,1709582,από
let,1705262,αφήνω
his,1666361,του
yes,1634050,Ναί
when,1531731,πότε
going,1520767,μετάβαση
time,1453708,χρόνος
an,1449181,ένα
okay,1428884,εντάξει
back,1405024,πίσω
look,1348467,Κοίτα
us,1346903,μας
would,1340070,θα
them,1327509,τους
where,1322226,που
were,1315964,ήταν
take,1312232,παίρνω
then,1275502,έπειτα
had,1274537,είχα
or,1267646,ή
been,1265150,ήταν
our,1191941,μας
gonna,1188190,θα
tell,1176290,λέγω
really,1174710,Πραγματικά
man,1173588,άνδρας
some,1166914,μερικοί
say,1153915,λένε
hey,1149292,γειανός
could,1111837,θα μπορούσε
'd,1109205,'ρε
didn,1100643,δεν
by,1090424,με
need,1040131,χρειάζομαι
something,1038638,κάτι
has,1035310,έχω
too,1022558,πολύ
more,1010390,περισσότερο
way,1000182,τρόπος
down,978966,κάτω
make,963885,"φτιαχνω, κανω"
very,945653,πολύ
never,930831,ποτέ
only,887363,μόνο
people,885915,Ανθρωποι
over,880841,πάνω από
because,880112,επειδή
little,869522,λίγο
please,842120,σας παρακαλούμε
love,830324,αγάπη
should,823711,πρέπει
mean,821275,σημαίνω
said,818878,είπε
sorry,818019,συγνώμη
give,811919,δίνω
off,799351,μακριά από
am,785830,είμαι
thank,773577,ευχαριστώ
any,767968,όποιος
two,764564,δύο
even,744544,ακόμη και
much,738599,πολύ
doing,732145,πράξη
sure,709390,σίγουρος
thing,697528,πράγμα
these,683128,αυτά τα
help,666286,βοήθεια
first,656387,πρώτα
into,655747,σε
anything,640206,Οτιδήποτε
still,639540,ακόμη
find,626520,εύρημα
life,624596,ΖΩΗ
nothing,622415,τίποτα
sir,619500,Κύριε
day,617674,ημέρα
god,611924,θεός
work,611677,δουλειά
their,601171,δικα τους
uh,592651,εχ.
again,590019,πάλι
maybe,581087,μπορεί
must,580931,πρέπει
before,578606,πριν
other,577197,άλλα
wait,574752,Περίμενε
stop,574016,να σταματήσει
call,572997,κλήση
after,572761,μετά
won,571621,Κέρδισε
talk,567036,ΜΙΛΑ ρε
away,564268,Μακριά
than,561014,από
thought,558542,σκέψη
home,556894,Σπίτι
night,556318,Νύχτα
put,552246,βάζω
great,545768,εξαιρετική
those,528404,εκείνοι
last,527395,τελευταίος
better,520328,καλύτερα
everything,519795,τα παντα
told,517951,ερεθής
mr.,515685,κύριος.
new,508486,νέος
things,503642,πράγματα
always,503417,πάντα
keep,498392,διατήρηση
long,496267,μακρύς
years,481860,έτη
leave,478282,άδεια
does,478174,κάνει
money,471643,χρήματα
around,471463,περίπου
doesn,471037,δεν
name,455543,όνομα
place,444863,θέση
ever,444088,πάντα
feel,444014,αφή
guys,442241,παιδιά
father,437537,πατέρας
guy,435832,ο τύπος
made,433900,έκανε
old,431911,παλαιός
isn,429536,isn
which,422483,οι οποίες
big,417218,μεγάλο
lot,411660,παρτίδα
done,408760,Έγινε
hello,405534,Γειά σου
nice,405497,όμορφη
believe,403874,πιστεύω
girl,402557,κορίτσι
someone,401162,κάποιος
fine,400530,πρόστιμο
thanks,395690,ευχαριστώ
wanted,392510,καταζητούμενος
kind,392242,είδος
coming,389949,ερχομός
house,388585,σπίτι
every,388520,κάθε
ok,388338,Εντάξει
through,388127,διά μέσου
being,386528,να εισαι
course,381816,σειρά μαθημάτων
stay,378726,διαμονή
left,378587,αριστερά
dad,378540,Μπαμπάς
enough,376973,αρκετά
happened,375703,συνέβη
came,374486,ήρθε
may,373526,ενδέχεται
mother,372846,μητέρα
wrong,370949,λανθασμένος
world,370620,κόσμος
bad,369996,κακό
might,367145,θα μπορούσε
three,366626,τρία
today,366395,σήμερα
listen,365791,ακούω
another,365421,αλλο
understand,365210,καταλαβαίνουν
hear,360665,ακούω
remember,358291,θυμάμαι
ask,354323,παρακαλώ
own,352542,τα δικά
same,348167,ίδιο
show,347408,προβολή
else,340756,αλλού
kill,339509,σκοτώνω
talking,337629,ομιλία
found,337382,βρέθηκαν
next,335573,Επόμενο
getting,331186,λυγίζω
care,330956,Φροντίδα
car,330261,αυτοκίνητο
looking,326550,κοιτάζοντας
son,325997,υιός
try,325748,δοκιμάστε
woman,324673,γυναίκα
went,321824,πήγε
hi,320316,γεια
dead,317589,νεκρός
many,314850,Πολλά
mind,312927,μυαλό
wasn,312240,φώνα
friend,308204,φίλος
best,307071,καλύτερος
mom,305139,μαμά
hell,304275,κόλαση
morning,303550,πρωί
trying,303288,προσπαθεί
boy,302508,αγόρι
together,302404,μαζί
yourself,302013,ο ίδιος
job,298911,δουλειά
saw,297985,είδε
family,294543,οικογένεια
real,294536,πραγματικός
without,290509,χωρίς
baby,290496,μωρό
room,290206,δωμάτιο
wouldn,288422,θα έπρεπε να
already,287837,ήδη
move,283807,κίνηση
most,283006,πλέον
seen,282420,προειδοποιητικός
live,281046,ζω
miss,280930,δεσποινίδα
actually,279595,πράγματι
huh,274656,εμένα
shit,273312,σκατά
both,270720,και τα δυο
heard,269851,ακούστηκε
once,269704,μια φορά
ready,267268,έτοιμος
head,266844,κεφάλι
called,264588,που ονομάζεται
used,263566,μεταχειρισμένος
idea,263097,ιδέα
knew,262988,ενδεχομένως
hold,262367,Κρατήστε
happy,262141,ευτυχισμένος
door,261118,θύρα
such,261104,τέτοιος
fuck,260121,γαμώ
brother,259877,αδελφός
also,259803,επίσης
pretty,259500,αρκετά
bit,258929,κομμάτι
took,258808,πήρα
haven,258463,επίνειο
yet,257947,Ακόμη
men,257319,άνδρες
whole,257109,ολόκληρος
start,256417,αρχή
use,256079,χρήση
while,255970,ενώ
since,254427,Από
wife,254038,γυναίκα
days,253171,ημέρες
guess,250320,εικασία
tomorrow,248729,αύριο
matter,247812,ύλη
meet,247466,συναντώ
bring,247343,να φερεις
tonight,246514,απόψε
everyone,246032,Ολοι
run,244200,τρέξιμο
wanna,243109,Θέλω
hard,242871,σκληρά
ah,242456,αχ
alone,240475,μόνος
myself,240460,εγώ ο ίδιος
school,240176,σχολείο
gone,240082,χαμένος
um,238853,εμείς
end,237387,τέλος
saying,236600,ρητό
phone,235246,τηλέφωνο
play,233865,παίζω
looks,233814,φαίνεται
couldn,233368,θα μπορούσε να
fucking,232845,γαμημένος
problem,232325,πρόβλημα
few,231375,λίγοι
friends,230464,οι φιλοι
gotta,230351,πρέπει
ago,229751,πριν
open,229669,Άνοιξε
anyone,228332,ο καθενας
killed,228297,σκοτωμένος
hope,226993,Ελπίζω
face,225482,πρόσωπο
until,225171,μέχρι
lost,222398,χαμένος
police,221380,αστυνομία
excuse,219855,δικαιολογία
turn,218563,στροφή
business,215855,επιχείρηση
case,215274,υπόθεση
wants,215149,θέλεις
says,215090,λέει
TRUE,214773,ΑΛΗΘΗΣ
die,214062,καλούπι
heart,213914,καρδιά
soon,213279,σύντομα
each,211943,καθε
worry,211329,ανησυχία
later,208878,αργότερα
year,208705,έτος
watch,207949,παρακολουθώ
music,207205,ΜΟΥΣΙΚΗ
hand,206247,χέρι
having,206106,έχοντας
probably,202736,πιθανώς
beautiful,200811,πανεμορφη
doctor,198424,γιατρός
sit,198149,Καθίστε
eat,197654,τρώω
thinking,195875,σκέψη
young,194810,νέος
second,193687,δεύτερος
working,193172,εργαζόμενος
water,193014,νερό
person,192652,πρόσωπο
part,192248,μέρος
kids,192050,παιδιά
late,191989,αργά
stuff,190629,υλικό
exactly,189513,ακριβώς
under,189347,κάτω από
death,189000,θάνατος
minute,188958,λεπτό
pay,188822,πληρωμή
crazy,188767,τρελός
forget,188628,ξεχνάμε
everybody,188532,όλοι
kid,187858,παιδί
change,186962,αλλαγή
gave,186445,έδωσα
happen,186041,συμβεί
damn,184228,δεκάρα
five,183626,πέντε
drink,182580,ποτό
far,182287,μακριά
knows,181663,γνωρίζω
its,180594,του
whatever,180082,οτιδήποτε
eyes,179260,μάτια
shut,178378,κλειστός
aren,178286,κτηνοτροφία
hit,177770,Κτύπημα
taking,177667,λήψη
easy,177337,Ανετα
times,176522,φορές
check,176507,έλεγχος
hands,176291,χέρια
minutes,175091,λεπτά
deal,174929,συμφωνία
different,174657,διαφορετικός
means,174311,που σημαίνει
point,174205,σημείο
inside,174081,μέσα
makes,172281,κάνει
asked,171740,ερωτηθείς
somebody,171596,κάποιος
mine,170636,δικος μου
making,169037,κατασκευή
body,168798,σώμα
afraid,168774,φοβισμένος
sleep,168103,ύπνος
chance,167981,ευκαιρία
dear,167351,αγαπητός
quite,166980,αρκετά
four,166957,τεσσάρων
anyway,166702,ΤΕΛΟΣ παντων
close,166677,Κλείσε
ain,166551,αίνδρος
party,166137,κόμμα
fun,165693,διασκέδαση
against,165033,κατά
word,164938,λέξη
comes,164503,προέρχομαι
important,164386,σπουδαίος
set,164165,σειρά
shall,164162,θα
story,164040,ιστορία
number,163259,αριθμός
daughter,163071,κόρη
least,162905,ελάχιστα
waiting,162571,αναμονή
hurt,161421,πλήγμα
wish,160204,επιθυμία
moment,159995,στιγμή
fight,159911,πάλη
week,159444,εβδομάδα
husband,159394,σύζυγος
girls,159061,κοριτσάκι
rest,158976,υπόλοιπο
married,157817,παντρεμένος
fire,157532,Φωτιά
game,157501,παιχνίδι
nobody,157014,κανείς
mr,156641,κύριος
children,156181,παιδιά
side,155667,πλευρά
stand,155391,στάση
read,154667,ανάγνωση
though,154479,αν και
cut,154407,Τομή
started,154345,ξεκίνημα
sister,154095,αδελφή
supposed,153117,υποτιθεμένος
between,152520,μεταξύ
child,151864,παιδί
goes,151195,πηγαίνω
hours,151156,ώρες
speak,150927,μιλώ
women,150803,γυναίκες
behind,148469,πίσω
almost,148405,σχεδόν
truth,148389,αλήθεια
blood,147913,αίμα
able,147205,ικανός
lady,147121,κυρία
anymore,146903,πια
playing,146615,παιχνίδι
gets,146064,παίρνω
shot,144772,βολή
reason,144399,λόγος
trouble,143235,ταλαιπωρία
break,143107,Διακοπή
war,142825,πόλεμος
city,142573,πόλη
walk,142055,Περπατήστε
town,141835,πόλη
trust,141327,εμπιστοσύνη
dr.,141231,Δρ.
met,141208,συνάντησε
office,141140,γραφείο
question,140970,ερώτηση
brought,140661,έφερε
yours,140553,δικος σου
welcome,140327,καλως ΗΡΘΑΤΕ
high,140078,υψηλός
wow,139593,Ουάου
couple,138996,ζευγάρι
half,138527,Ήμισυ
died,138432,πέθανε
cool,138139,δροσερός
free,137598,Ελεύθερος
either,137448,είτε
seems,136699,φαίνεται
power,136611,εξουσία
whoa,136564,μαχαιρώ
bye,136276,αντίο
buy,136137,αγορά
telling,136109,αποτελεσματικός
honey,135631,μέλι
tried,135401,δοκιμασμένος
front,135341,εμπρός
team,134358,ομάδα
answer,134088,απάντηση
gun,133072,όπλο
boys,132594,αγόρια
line,132433,γραμμή
send,131999,στείλετε
news,131599,Νέα
stupid,131497,χαζος
bed,131445,κρεβάτι
hurry,130182,βιασύνη
full,129735,γεμάτος
months,129732,μήνες
save,129390,αποθηκεύσετε
sometimes,128779,ωρες ωρες
become,128716,γίνομαι
along,128220,κατά μήκος
hate,128153,μισώ
food,127657,τροφή
outside,127251,εξω απο
light,126657,φως
l,126518,μεγάλο
needs,126398,ανάγκες
dog,125769,σκύλος
country,125731,Χώρα
clear,125730,Σαφή
order,125446,Σειρά
em,125033,εξομάλμομαι
fact,124995,γεγονός
lord,124880,άρχοντας
captain,124874,Καπετάνιος
six,124087,έξι
hot,123994,ζεστό
funny,123924,αστείος
black,123718,μαύρος
mrs.,123530,κυρία.
alive,122833,ζωντανός
pick,122698,διαλέγω
feeling,122065,συναισθημα
living,121552,ζωή
cause,121264,αιτία
ahead,120295,εμπρός
lose,118712,χάνω
king,118230,Βασιλιάς
plan,118129,σχέδιο
dinner,117970,βραδινό
sighs,117410,αναστερώ
sort,117267,είδος
leaving,117050,φεύγω
shouldn,117029,θα έπρεπε να
running,116973,τρέξιμο
boss,116736,αφεντικό
alright,116629,καλώς
promise,115908,υπόσχεση
taken,115236,λήφθηκε
safe,114104,ασφαλής
ma,114026,α
book,113963,Βιβλίο
sent,113959,Απεσταλμένα
white,112881,άσπρο
hour,112782,ώρα
anybody,112582,οποιοσδήποτε
small,112316,μικρό
perfect,112229,τέλειος
'cause,112193,'αιτία
lives,110583,ζει
special,110344,ειδικός
parents,110206,γονείς
s,110199,μικρό
john,109966,Γιάννης
himself,109748,ο ίδιος
perhaps,109240,ίσως
sounds,109140,ήχοι
serious,108774,σοβαρός
sick,108596,άρρωστος
company,108073,Εταιρία
ha,107974,χα
scared,107906,φοβισμένος
uncle,107826,θείος
poor,107444,Φτωχός
red,106589,το κόκκινο
past,106439,το παρελθόν
earth,106394,γη
possible,106080,δυνατόν
shoot,106067,βλαστός
touch,105846,αφή
sound,105298,ήχος
top,105282,μπλουζα
ass,105009,γάιδαρος
laughs,104913,γέλια
cannot,103913,δεν μπορώ
asking,102974,ερωτώντας
win,102956,νίκη
glad,102848,χαρούμενος
control,102782,έλεγχος
hmm,102607,χμμ
human,102595,ο άνθρωπος
