Word,Count,Translation,ZegedronCount
you,28787591,εσείς,0
i,27086011,Εγώ,0
the,22761659,ο,0
to,17099834,προς την,0
a,14484562,ένα,0
's,14291013,'μικρό,0
it,13631703,το,0
and,10572938,και,0
that,10203742,ότι,0
't,9628970,«Τ,0
of,8915110,του,0
is,7400675,είναι,0
in,7337058,σε,0
what,6900164,τι,0
we,6755687,εμείς,0
me,6444985,μου,0
this,5739788,Αυτό,0
he,5516364,αυτός,0
for,5174060,Για,0
my,4938948,μου,0
on,4821861,επί,0
have,4764010,έχω,0
your,4610945,τα δικα σου,0
do,4419883,κάνω,0
was,4401531,ήταν,0
'm,4386306,'Μ,0
no,4374975,όχι,0
not,4262273,δεν,0
be,4210868,είναι,0
are,4203821,είναι,0
don,4158644,κύριος,0
're,4059719,'σχετικά με,0
know,3892394,ξέρω,0
can,3826118,μπορώ,0
with,3806977,με,0
but,3631462,αλλά,0
all,3544700,όλα,0
so,3434152,Έτσι,0
just,3334392,μόλις,0
there,3148528,εκεί,0
here,3138591,εδώ,0
they,3060204,αυτοί,0
like,2983027,αρέσει,0
'll,2913428,«,0
get,2883193,παίρνω,0
she,2778359,αυτή,0
go,2738504,πηγαίνω,0
if,2630800,αν,0
right,2576821,σωστά,0
out,2510010,έξω,0
about,2487348,σχετικά με,0
up,2459855,πάνω,0
at,2431398,στο,0
him,2431059,αυτόν,0
now,2298830,τώρα,0
oh,2298308,ω,0
one,2263956,ένας,0
come,2203919,Έλα,0
well,2159909,Καλά,0
her,2154982,αυτήν,0
how,2140365,πως,0
yeah,2000641,ναι,0
've,1991871,«ve,0
will,1969807,θα,0
got,1968389,πήρα,0
want,1950845,θέλω,0
think,1839473,νομίζω,0
as,1792220,όπως και,0
see,1781493,βλέπω,0
did,1742764,διεφέρα,0
good,1741730,Καλός,0
who,1734491,ΠΟΥ,0
why,1722797,Γιατί,0
from,1709582,από,0
let,1705262,αφήνω,0
his,1666361,του,0
yes,1634050,Ναί,1
when,1531731,πότε,0
going,1520767,μετάβαση,0
time,1453708,χρόνος,0
an,1449181,ένα,0
okay,1428884,εντάξει,0
back,1405024,πίσω,0
look,1348467,Κοίτα,0
us,1346903,μας,0
would,1340070,θα,0
them,1327509,τους,0
where,1322226,που,0
were,1315964,ήταν,0
take,1312232,παίρνω,0
then,1275502,έπειτα,0
had,1274537,είχα,0
or,1267646,ή,0
been,1265150,ήταν,0
our,1191941,μας,0
gonna,1188190,θα,0
tell,1176290,λέγω,0
really,1174710,Πραγματικά,0
man,1173588,άνδρας,0
some,1166914,μερικοί,0
say,1153915,λένε,0
hey,1149292,γειανός,0
could,1111837,θα μπορούσε,0
'd,1109205,'ρε,0
didn,1100643,δεν,0
by,1090424,με,0
need,1040131,χρειάζομαι,0
something,1038638,κάτι,0
has,1035310,έχω,0
too,1022558,πολύ,0
more,1010390,περισσότερο,0
way,1000182,τρόπος,0
down,978966,κάτω,0
make,963885,"φτιαχνω, κανω",0
very,945653,πολύ,0
never,930831,ποτέ,0
only,887363,μόνο,0
people,885915,Ανθρωποι,0
over,880841,πάνω από,0
because,880112,επειδή,0
little,869522,λίγο,0
please,842120,σας παρακαλούμε,0
love,830324,αγάπη,0
should,823711,πρέπει,0
mean,821275,σημαίνω,0
said,818878,είπε,0
sorry,818019,συγνώμη,0
give,811919,δίνω,0
off,799351,μακριά από,0
am,785830,είμαι,0
thank,773577,ευχαριστώ,0
any,767968,όποιος,0
two,764564,δύο,0
even,744544,ακόμη και,0
much,738599,πολύ,0
doing,732145,πράξη,0
sure,709390,σίγουρος,0
thing,697528,πράγμα,0
these,683128,αυτά τα,0
help,666286,βοήθεια,0
first,656387,πρώτα,0
into,655747,σε,0
anything,640206,Οτιδήποτε,0
still,639540,ακόμη,0
find,626520,εύρημα,0
life,624596,ΖΩΗ,0
nothing,622415,τίποτα,0
sir,619500,Κύριε,0
day,617674,ημέρα,0
god,611924,θεός,0
work,611677,δουλειά,0
their,601171,δικα τους,0
uh,592651,εχ.,0
again,590019,πάλι,0
maybe,581087,μπορεί,0
must,580931,πρέπει,0
before,578606,πριν,0
other,577197,άλλα,0
wait,574752,Περίμενε,0
stop,574016,να σταματήσει,0
call,572997,κλήση,0
after,572761,μετά,0
won,571621,Κέρδισε,0
talk,567036,ΜΙΛΑ ρε,0
away,564268,Μακριά,0
than,561014,από,0
thought,558542,σκέψη,0
home,556894,Σπίτι,0
night,556318,Νύχτα,0
put,552246,βάζω,0
great,545768,εξαιρετική,0
those,528404,εκείνοι,0
last,527395,τελευταίος,0
better,520328,καλύτερα,0
everything,519795,τα παντα,0
told,517951,ερεθής,0
mr.,515685,κύριος.,0
new,508486,νέος,0
things,503642,πράγματα,0
always,503417,πάντα,0
keep,498392,διατήρηση,0
long,496267,μακρύς,0
years,481860,έτη,0
leave,478282,άδεια,0
does,478174,κάνει,0
money,471643,χρήματα,0
around,471463,περίπου,0
doesn,471037,δεν,0
name,455543,όνομα,0
place,444863,θέση,0
ever,444088,πάντα,0
feel,444014,αφή,0
guys,442241,παιδιά,0
father,437537,πατέρας,0
guy,435832,ο τύπος,0
made,433900,έκανε,0
old,431911,παλαιός,0
isn,429536,isn,0
which,422483,οι οποίες,0
big,417218,μεγάλο,0
lot,411660,παρτίδα,0
done,408760,Έγινε,0
hello,405534,Γειά σου,0
nice,405497,όμορφη,0
believe,403874,πιστεύω,0
girl,402557,κορίτσι,0
someone,401162,κάποιος,0
fine,400530,πρόστιμο,0
thanks,395690,ευχαριστώ,0
wanted,392510,καταζητούμενος,0
kind,392242,είδος,0
coming,389949,ερχομός,0
house,388585,σπίτι,0
every,388520,κάθε,0
ok,388338,Εντάξει,0
through,388127,διά μέσου,0
being,386528,να εισαι,0
course,381816,σειρά μαθημάτων,0
stay,378726,διαμονή,0
left,378587,αριστερά,0
dad,378540,Μπαμπάς,0
enough,376973,αρκετά,0
happened,375703,συνέβη,0
came,374486,ήρθε,0
may,373526,ενδέχεται,0
mother,372846,μητέρα,0
wrong,370949,λανθασμένος,0
world,370620,κόσμος,0
bad,369996,κακό,0
might,367145,θα μπορούσε,0
three,366626,τρία,0
today,366395,σήμερα,0
listen,365791,ακούω,0
another,365421,αλλο,0
understand,365210,καταλαβαίνουν,0
hear,360665,ακούω,0
remember,358291,θυμάμαι,0
ask,354323,παρακαλώ,0
own,352542,τα δικά,0
same,348167,ίδιο,0
show,347408,προβολή,0
else,340756,αλλού,0
kill,339509,σκοτώνω,0
talking,337629,ομιλία,0
found,337382,βρέθηκαν,0
next,335573,Επόμενο,0
getting,331186,λυγίζω,0
care,330956,Φροντίδα,0
car,330261,αυτοκίνητο,0
looking,326550,κοιτάζοντας,0
son,325997,υιός,0
try,325748,δοκιμάστε,0
woman,324673,γυναίκα,0
went,321824,πήγε,0
hi,320316,γεια,0
dead,317589,νεκρός,0
many,314850,Πολλά,0
mind,312927,μυαλό,0
wasn,312240,φώνα,0
friend,308204,φίλος,0
best,307071,καλύτερος,0
mom,305139,μαμά,0
hell,304275,κόλαση,0
morning,303550,πρωί,0
trying,303288,προσπαθεί,0
boy,302508,αγόρι,0
together,302404,μαζί,0
yourself,302013,ο ίδιος,0
job,298911,δουλειά,0
saw,297985,είδε,0
family,294543,οικογένεια,0
real,294536,πραγματικός,0
without,290509,χωρίς,0
baby,290496,μωρό,0
room,290206,δωμάτιο,0
wouldn,288422,θα έπρεπε να,0
already,287837,ήδη,0
move,283807,κίνηση,0
most,283006,πλέον,0
seen,282420,προειδοποιητικός,0
live,281046,ζω,0
miss,280930,δεσποινίδα,0
actually,279595,πράγματι,0
huh,274656,εμένα,0
shit,273312,σκατά,0
both,270720,και τα δυο,0
heard,269851,ακούστηκε,0
once,269704,μια φορά,0
ready,267268,έτοιμος,0
head,266844,κεφάλι,0
called,264588,που ονομάζεται,0
used,263566,μεταχειρισμένος,0
idea,263097,ιδέα,0
knew,262988,ενδεχομένως,0
hold,262367,Κρατήστε,0
happy,262141,ευτυχισμένος,0
door,261118,θύρα,0
such,261104,τέτοιος,0
fuck,260121,γαμώ,0
brother,259877,αδελφός,0
also,259803,επίσης,0
pretty,259500,αρκετά,0
bit,258929,κομμάτι,0
took,258808,πήρα,0
haven,258463,επίνειο,0
yet,257947,Ακόμη,0
men,257319,άνδρες,0
whole,257109,ολόκληρος,0
start,256417,αρχή,0
use,256079,χρήση,0
while,255970,ενώ,0
since,254427,Από,0
wife,254038,γυναίκα,0
days,253171,ημέρες,0
guess,250320,εικασία,0
tomorrow,248729,αύριο,0
matter,247812,ύλη,0
meet,247466,συναντώ,0
bring,247343,να φερεις,0
tonight,246514,απόψε,0
everyone,246032,Ολοι,0
run,244200,τρέξιμο,0
wanna,243109,Θέλω,0
hard,242871,σκληρά,0
ah,242456,αχ,0
alone,240475,μόνος,0
myself,240460,εγώ ο ίδιος,0
school,240176,σχολείο,0
gone,240082,χαμένος,0
um,238853,εμείς,0
end,237387,τέλος,0
saying,236600,ρητό,0
phone,235246,τηλέφωνο,0
play,233865,παίζω,0
looks,233814,φαίνεται,0
couldn,233368,θα μπορούσε να,0
fucking,232845,γαμημένος,0
problem,232325,πρόβλημα,0
few,231375,λίγοι,0
friends,230464,οι φιλοι,0
gotta,230351,πρέπει,0
ago,229751,πριν,0
open,229669,Άνοιξε,0
anyone,228332,ο καθενας,0
killed,228297,σκοτωμένος,0
hope,226993,Ελπίζω,0
face,225482,πρόσωπο,0
until,225171,μέχρι,0
lost,222398,χαμένος,0
police,221380,αστυνομία,0
excuse,219855,δικαιολογία,0
turn,218563,στροφή,0
business,215855,επιχείρηση,0
case,215274,υπόθεση,0
wants,215149,θέλεις,0
says,215090,λέει,0
TRUE,214773,ΑΛΗΘΗΣ,0
die,214062,καλούπι,0
heart,213914,καρδιά,0
soon,213279,σύντομα,0
each,211943,καθε,0
worry,211329,ανησυχία,0
later,208878,αργότερα,0
year,208705,έτος,0
watch,207949,παρακολουθώ,0
music,207205,ΜΟΥΣΙΚΗ,0
hand,206247,χέρι,0
having,206106,έχοντας,0
probably,202736,πιθανώς,0
beautiful,200811,πανεμορφη,0
doctor,198424,γιατρός,0
sit,198149,Καθίστε,0
eat,197654,τρώω,0
thinking,195875,σκέψη,0
young,194810,νέος,0
second,193687,δεύτερος,0
working,193172,εργαζόμενος,0
water,193014,νερό,0
person,192652,πρόσωπο,0
part,192248,μέρος,0
kids,192050,παιδιά,0
late,191989,αργά,0
stuff,190629,υλικό,0
exactly,189513,ακριβώς,0
under,189347,κάτω από,0
death,189000,θάνατος,0
minute,188958,λεπτό,0
pay,188822,πληρωμή,0
crazy,188767,τρελός,0
forget,188628,ξεχνάμε,0
everybody,188532,όλοι,0
kid,187858,παιδί,0
change,186962,αλλαγή,0
gave,186445,έδωσα,0
happen,186041,συμβεί,0
damn,184228,δεκάρα,0
five,183626,πέντε,0
drink,182580,ποτό,0
far,182287,μακριά,0
knows,181663,γνωρίζω,0
its,180594,του,0
whatever,180082,οτιδήποτε,0
eyes,179260,μάτια,0
shut,178378,κλειστός,0
aren,178286,κτηνοτροφία,0
hit,177770,Κτύπημα,0
taking,177667,λήψη,0
easy,177337,Ανετα,0
times,176522,φορές,0
check,176507,έλεγχος,0
hands,176291,χέρια,0
minutes,175091,λεπτά,0
deal,174929,συμφωνία,0
different,174657,διαφορετικός,0
means,174311,που σημαίνει,0
point,174205,σημείο,0
inside,174081,μέσα,0
makes,172281,κάνει,0
asked,171740,ερωτηθείς,0
somebody,171596,κάποιος,0
mine,170636,δικος μου,0
making,169037,κατασκευή,0
body,168798,σώμα,0
afraid,168774,φοβισμένος,0
sleep,168103,ύπνος,0
chance,167981,ευκαιρία,0
dear,167351,αγαπητός,0
quite,166980,αρκετά,0
four,166957,τεσσάρων,0
anyway,166702,ΤΕΛΟΣ παντων,0
close,166677,Κλείσε,0
ain,166551,αίνδρος,0
party,166137,κόμμα,0
fun,165693,διασκέδαση,0
against,165033,κατά,0
word,164938,λέξη,0
comes,164503,προέρχομαι,0
important,164386,σπουδαίος,0
set,164165,σειρά,0
shall,164162,θα,0
story,164040,ιστορία,0
number,163259,αριθμός,0
daughter,163071,κόρη,0
least,162905,ελάχιστα,0
waiting,162571,αναμονή,0
hurt,161421,πλήγμα,0
wish,160204,επιθυμία,0
moment,159995,στιγμή,0
fight,159911,πάλη,0
week,159444,εβδομάδα,0
husband,159394,σύζυγος,0
girls,159061,κοριτσάκι,0
rest,158976,υπόλοιπο,0
married,157817,παντρεμένος,0
fire,157532,Φωτιά,0
game,157501,παιχνίδι,0
nobody,157014,κανείς,0
mr,156641,κύριος,0
children,156181,παιδιά,0
side,155667,πλευρά,0
stand,155391,στάση,0
read,154667,ανάγνωση,0
though,154479,αν και,0
cut,154407,Τομή,0
started,154345,ξεκίνημα,0
sister,154095,αδελφή,0
supposed,153117,υποτιθεμένος,0
between,152520,μεταξύ,0
child,151864,παιδί,0
goes,151195,πηγαίνω,0
hours,151156,ώρες,0
speak,150927,μιλώ,0
women,150803,γυναίκες,0
behind,148469,πίσω,0
almost,148405,σχεδόν,0
truth,148389,αλήθεια,0
blood,147913,αίμα,0
able,147205,ικανός,0
lady,147121,κυρία,0
anymore,146903,πια,0
playing,146615,παιχνίδι,0
gets,146064,παίρνω,0
shot,144772,βολή,0
reason,144399,λόγος,0
trouble,143235,ταλαιπωρία,0
break,143107,Διακοπή,0
war,142825,πόλεμος,0
city,142573,πόλη,0
walk,142055,Περπατήστε,0
town,141835,πόλη,0
trust,141327,εμπιστοσύνη,0
dr.,141231,Δρ.,0
met,141208,συνάντησε,0
office,141140,γραφείο,0
question,140970,ερώτηση,0
brought,140661,έφερε,0
yours,140553,δικος σου,0
welcome,140327,καλως ΗΡΘΑΤΕ,0
high,140078,υψηλός,0
wow,139593,Ουάου,0
couple,138996,ζευγάρι,0
half,138527,Ήμισυ,0
died,138432,πέθανε,0
cool,138139,δροσερός,0
free,137598,Ελεύθερος,0
either,137448,είτε,0
seems,136699,φαίνεται,0
power,136611,εξουσία,0
whoa,136564,μαχαιρώ,0
bye,136276,αντίο,0
buy,136137,αγορά,0
telling,136109,αποτελεσματικός,0
honey,135631,μέλι,0
tried,135401,δοκιμασμένος,0
front,135341,εμπρός,0
team,134358,ομάδα,0
answer,134088,απάντηση,0
gun,133072,όπλο,0
boys,132594,αγόρια,0
line,132433,γραμμή,0
send,131999,στείλετε,0
news,131599,Νέα,0
stupid,131497,χαζος,0
bed,131445,κρεβάτι,0
hurry,130182,βιασύνη,0
full,129735,γεμάτος,0
months,129732,μήνες,0
save,129390,αποθηκεύσετε,0
sometimes,128779,ωρες ωρες,0
become,128716,γίνομαι,0
along,128220,κατά μήκος,0
hate,128153,μισώ,0
food,127657,τροφή,0
outside,127251,εξω απο,0
light,126657,φως,0
l,126518,μεγάλο,0
needs,126398,ανάγκες,0
dog,125769,σκύλος,0
country,125731,Χώρα,0
clear,125730,Σαφή,0
order,125446,Σειρά,0
em,125033,εξομάλμομαι,0
fact,124995,γεγονός,0
lord,124880,άρχοντας,0
captain,124874,Καπετάνιος,0
six,124087,έξι,0
hot,123994,ζεστό,0
funny,123924,αστείος,0
black,123718,μαύρος,0
mrs.,123530,κυρία.,0
alive,122833,ζωντανός,0
pick,122698,διαλέγω,0
feeling,122065,συναισθημα,0
living,121552,ζωή,0
cause,121264,αιτία,0
ahead,120295,εμπρός,0
lose,118712,χάνω,0
king,118230,Βασιλιάς,0
plan,118129,σχέδιο,0
dinner,117970,βραδινό,0
sighs,117410,αναστερώ,0
sort,117267,είδος,0
leaving,117050,φεύγω,0
shouldn,117029,θα έπρεπε να,0
running,116973,τρέξιμο,0
boss,116736,αφεντικό,0
alright,116629,καλώς,0
promise,115908,υπόσχεση,0
taken,115236,λήφθηκε,0
safe,114104,ασφαλής,0
ma,114026,α,0
book,113963,Βιβλίο,0
sent,113959,Απεσταλμένα,0
white,112881,άσπρο,0
hour,112782,ώρα,0
anybody,112582,οποιοσδήποτε,0
small,112316,μικρό,0
perfect,112229,τέλειος,0
'cause,112193,'αιτία,0
lives,110583,ζει,0
special,110344,ειδικός,0
parents,110206,γονείς,0
s,110199,μικρό,0
john,109966,Γιάννης,0
himself,109748,ο ίδιος,0
perhaps,109240,ίσως,0
sounds,109140,ήχοι,0
serious,108774,σοβαρός,0
sick,108596,άρρωστος,0
company,108073,Εταιρία,0
ha,107974,χα,0
scared,107906,φοβισμένος,0
uncle,107826,θείος,0
poor,107444,Φτωχός,0
red,106589,το κόκκινο,0
past,106439,το παρελθόν,0
earth,106394,γη,0
possible,106080,δυνατόν,0
shoot,106067,βλαστός,0
touch,105846,αφή,0
sound,105298,ήχος,0
top,105282,μπλουζα,0
ass,105009,γάιδαρος,0
laughs,104913,γέλια,0
cannot,103913,δεν μπορώ,0
asking,102974,ερωτώντας,0
win,102956,νίκη,0
glad,102848,χαρούμενος,0
control,102782,έλεγχος,0
hmm,102607,χμμ,0
human,102595,ο άνθρωπος,0
drive,102436,οδηγώ,0
hair,101852,μαλλιά,0
jack,101666,γρύλος,0
bitch,101302,σκύλα,0
luck,101228,τυχη,0
murder,101133,δολοφονία,0
happens,100847,συμβαίνει,0
air,100137,αέρας,0
ten,100133,δέκα,0
daddy,100005,πατερούλης,0
finally,99904,τελικά,0
chuckles,99607,γέλια,0
fast,99084,γρήγορα,0
cold,99032,κρύο,0
seem,98575,φαίνομαι,0
laughing,98420,γέλιο,0
words,98242,λόγια,0
hospital,98076,νοσοκομείο,0
street,98007,δρόμος,0
hang,97778,κρεμάω,0
dance,97339,χορός,0
meeting,97328,συνάντηση,0
till,97044,έως,0
others,96631,οι υπολοιποι,0
catch,96609,σύλληψη,0
follow,96529,ακολουθηστε,0
sense,96442,έννοια,0
sex,96431,φύλο,0
lie,95930,ψέμα,0
evening,95321,απόγευμα,0
master,95131,κύριος,0
known,95125,γνωστός,0
dream,95089,όνειρο,0
write,94964,γράφω,0
million,94514,εκατομμύριο,0
voice,94104,φωνή,0
sweet,94057,γλυκός,0
rather,94057,μάλλον,0
felt,93826,ένιωσα,0
sign,92512,σημάδι,0
lucky,92377,τυχερός,0
somewhere,92265,κάπου,0
bet,91573,στοίχημα,0
o,91243,Ο,0
jesus,91143,Ιησούς,0
longer,91035,μακρύτερα,0
calling,90868,κλήση,0
worked,90771,εργαζόμενος,0
quiet,90552,ησυχια,0
looked,90441,κοίταυσα,0
less,90011,πιο λιγο,0
pull,89880,Τραβήξτε,0
beat,89787,Ρυθμός,0
careful,89667,προσεκτικός,0
coffee,89650,καφές,0
return,89451,ΕΠΙΣΤΡΟΦΗ,0
secret,89236,μυστικό,0
weeks,88925,εβδομάδες,0
weren,88427,αρθρώ,0
date,88407,ημερομηνία,0
seeing,88192,βλέπων,0
fall,87762,πτώση,0
given,87738,δεδομένος,0
ooh,87683,Ωχ,0
fault,87420,σφάλμα,0
straight,87378,ευθεία,0
takes,86959,παίρνει,0
song,86877,τραγούδι,0
future,86832,μελλοντικός,0
gentlemen,86660,Αντρών,0
loved,86138,αγαπημένος,0
changed,86133,άλλαξαν,0
road,85751,δρόμος,0
calm,85638,ηρεμία,0
wonderful,85617,εκπληκτικός,0
mad,85366,τρελός,0
turned,85279,στριμωγμένος,0
drop,85186,πτώση,0
ladies,85029,Κυρίες,0
learn,84936,μαθαίνω,0
step,84882,βήμα,0
absolutely,84856,απολύτως,0
early,84836,νωρίς,0
explain,84368,εξηγώ,0
clean,84238,ΚΑΘΑΡΗ,0
piece,84224,κομμάτι,0
yesterday,83823,εχθές,0
throw,83679,βολή,0
picture,83461,εικόνα,0
land,83422,γη,0
feet,83295,πόδια,0
wonder,82903,θαύμα,0
questions,82887,ερωτήσεις,0
speaking,82769,Ομιλία,0
worth,82559,αξία,0
darling,82240,πολυαγαπημένος,0
dude,82190,Φίλε,0
giving,82085,δίνοντας,0
president,81980,Πρόεδρος,0
eye,81953,μάτι,0
quick,81548,γρήγορα,0
moving,81193,κίνηση,0
figure,81048,εικόνα,0
state,80818,κατάσταση,0
strong,80501,ισχυρός,0
sam,80423,ο Σαμ,0
none,80315,κανένας,0
amazing,80267,φοβερο,0
ones,79546,από αυτά,0
works,79323,έργα,0
act,79020,υποκρίνομαι,0
needed,78920,απαιτείται,0
weird,78317,Περίεργο,0
law,78264,νόμος,0
worried,78083,ανήσυχος,0
report,77824,κανω ΑΝΑΦΟΡΑ,0
goodbye,77514,αντιο σας,0
missing,77326,λείπει,0
choice,77197,επιλογή,0
happening,77052,συμβαίνει,0
chief,76951,αρχηγός,0
wedding,76940,γάμος,0
strange,76863,παράξενος,0
general,76816,γενικός,0
pain,76799,πόνος,0
'am,76751,'είμαι,0
kidding,76744,αστεϊσμός,0
decided,76683,αποφασισμένος,0
ya,76658,ναι,0
pass,76635,πέρασμα,0
tired,76540,κουρασμένος,0
class,76489,τάξη,0
officer,76015,αξιωματικός,0
kept,75930,διατηρημένος,0
wake,75776,ίχνη,0
worse,75595,χειρότερος,0
busy,75557,απασχολημένος,0
eh,75178,ε,0
mistake,74957,λάθος,0
kiss,74790,φιλί,0
court,74580,δικαστήριο,0
building,74492,Κτίριο,0
finish,74299,φινίρισμα,0
during,74298,στη διάρκεια,0
age,74262,ηλικία,0
ship,74224,πλοίο,0
caught,74060,αλιευμένος,0
marry,73938,παντρεύω,0
meant,73929,ενδεχομένως,0
sell,73802,Πουλώ,0
dark,73770,σκοτάδι,0
watching,73700,βλέποντας,0
system,73678,Σύστημα,0
suppose,73465,υποθέτω,0
evidence,73113,απόδειξη,0
movie,73070,ταινία,0
ride,73070,βόλτα,0
t,72881,Τ,0
completely,72777,εντελώς,0
mouth,72733,στόμα,0
totally,72478,τελείως,0
birthday,72140,γενέθλια,0
tv,72054,τηλεόραση,0
forgive,71915,συγχωρώ,0
born,71906,γεννημένος,0
imagine,71873,φαντάζομαι,0
information,71840,πληροφορίες,0
instead,71571,αντι αυτου,0
definitely,71524,οπωσδηποτε,0
security,71503,ασφάλεια,0
certainly,71435,σίγουρα,0
film,71407,ταινία,0
month,71163,μήνας,0
lying,71098,ξαπλωμένη,0
unless,70979,εκτός,0
train,70974,τρένο,0
seven,70968,επτά,0
wear,70955,φορούν,0
clothes,70929,ρούχα,0
michael,70741,Μιχαήλ,0
hotel,70659,ξενοδοχειο,0
christmas,70624,Χριστούγεννα,0
attack,70583,επίθεση,0
hasn,70449,έχει,0
round,70043,γύρος,0
expect,69614,αναμένω,0
sing,69575,τραγουδώ,0
terrible,69499,τρομερός,0
george,69441,Γεώργιος,0
bag,69186,τσάντα,0
history,69119,ιστορία,0
blue,68839,μπλε,0
near,68790,κοντά,0
broke,68629,έσπασε,0
station,68571,σταθμός,0
seriously,68524,σοβαρά,0
forever,68510,για πάντα,0
david,68505,Δαβίδ,0
frank,68472,ειλικρινής,0
